institution_id,name,address,phone,fax,email,internet
221497912,British Columbia Cancer Agency,"600 West 10th Avenue
Vancouver V5Z 4E6
Kanada",+1 604 877-6000,,,Zur Homepage
13942530,Peter MacCallum Cancer Centre,"Locked Bag 1, A'Beckett Street
Melbourne VIC 8006
Australien",+61 3 9656-1111,+61 3 9656-1400,,Zur Homepage
243079832,Damghan University,"
Damghan 36716-41167
Iran",,,,Zur Homepage
10304,Fachhochschule Münster,"Hüfferstraße 27
48149 Münster
Deutschland",+49 251 83-64054,+49 251 83-64060,praesidium@fh-muenster.de,Zur Homepage
62747689,Charles Darwin University,"
Darwin NT
Australien",+61 8 8946-6666,,,Zur Homepage
262614,Asko-Europa-Stiftung,"Pestelstraße 2
66119 Saarbrücken
Deutschland",+49 681 92674313,,g..walter@asko-europa-stiftung.de,Zur Homepage
396873836,Deutsche Gesellschaft für Endokrinologie e.V. c/o EndoScience Endokrinologie Service GmbH,"Hopfengartenweg 19
90518 Altdorf
Deutschland",+49 9187 9742411,+49 9187 9742471,dge@endokrinologie.net,Zur Homepage
30582,Kliniken Essen-Mitte,"Henricistraße 92
45136 Essen
Deutschland",+49 201 174-0,+49 201 174-1005,info@kliniken-essen-mitte.de,Zur Homepage
35040214,INSERM U539-Institut des Maladies de l'Appareil Digistif,"Hôpital Hotel Dieu 1
44000 Nantes
Frankreich",,,,
20703946,Institut für Biochemie der Medizinischen Fakultät der Universität Rostock,"Schillingallee 70
18057 Rostock
Deutschland",,,,
68298287,Klinikum Duisburg gGmbH,"Zu den Rehwiesen 9
47055 Duisburg
Deutschland",+49 203 733,+49 203 733,info@klinikum-duisburg.de,Zur Homepage
20768058,Institut Franco-Allemand de Recherches de Saint-Louis (ISL),"5 rue de General Gassagnou
68300 Saint-Louis Cédex
Frankreich",+33 3 89695000,,,Zur Homepage
14820,Rheinisch-Westfälische Technische Hochschule Aachen Fakultät für Maschinenwesen Institut für Werkstoffanwendungen im Maschinenbau,"Augustinerbach 4
52062 Aachen
Deutschland",+49 241 80-95315,+49 241 80-92266,info@iwm.rwth-aachen.de,Zur Homepage
10644,Fraunhofer-Institut für Fabrikbetrieb und -automatisierung (IFF),"Sandtorstraße 22
39106 Magdeburg
Deutschland",+49 391 4090-0,+49 391 4090-596,ideen@iff.fraunhofer.de,Zur Homepage
40239501,Universität Luzern,"Pfistergasse 20
6003 Luzern
Schweiz",+41 41 2285510,+41 41 2285505,,Zur Homepage
216245743,National Institutes of Natural Sciences,"Kamiyacho Central Place 2F
Tokyo 105-0001
Japan",+81 3 5425-2033,+81 3 5425-2049,,Zur Homepage
