institution_id,name
5000,Deutsche Forschungsgemeinschaft (DFG)
5008,Auswärtiges Amt
10045,Universität Mannheim
10047,Ruprecht-Karls-Universität Heidelberg
10049,Universität Hohenheim
10051,Eberhard Karls Universität Tübingen
10053,Universität Konstanz
10055,Albert-Ludwigs-Universität Freiburg
10057,Universität Ulm
10059,Universität Stuttgart
169579332,Karlsruher Institut für Technologie (KIT)
10063,Pädagogische Hochschule Heidelberg
10064,Pädagogische Hochschule Schwäbisch Gmünd
10065,Pädagogische Hochschule Ludwigsburg
10066,Pädagogische Hochschule Karlsruhe
10067,Hochschule für Musik Freiburg
10068,Pädagogische Hochschule Freiburg
10069,Pädagogische Hochschule Weingarten
10070,Hochschule der Medien (HdM) Stuttgart
10071,Hochschule für Technik Stuttgart
10072,Hochschule Aalen - Technik und Wirtschaft
10073,Hochschule Heilbronn (HHN)
10074,Hochschule Esslingen
10075,Hochschule Karlsruhe - Technik und Wirtschaft (HsKA)
10076,"Hochschule Konstanz Technik, Wirtschaft und Gestaltung (HTWG)"
10077,Hochschule Ulm
10078,Heidelberger Akademie der Wissenschaften
10080,Max-Planck-Institut für ausländisches und internationales Strafrecht
10081,Max-Planck-Institut für Immunbiologie und Epigenetik
10082,Max-Planck-Institut für Astronomie (MPIA)
10083,Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht
10084,Max-Planck-Institut für Kernphysik
10085,Max-Planck-Institut für medizinische Forschung
10086,Max-Planck-Institut für Zellbiologie (MPIZB)
10087,Max-Planck-Institut für Festkörperforschung (MPI-FKF)
10088,Max-Planck-Institut für Intelligente Systeme
10090,Friedrich-Miescher-Laboratorium für biologische Arbeitsgruppen in der Max-Planck-Gesellschaft
10091,Max-Planck-Institut für biologische Kybernetik
10092,Max-Planck-Institut für Entwicklungsbiologie
61703771,Max-Planck-Institut für Ornithologie
10094,Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO)
10095,"Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung (IOSB)"
10096,Fraunhofer-Institut für Angewandte Festkörperphysik (IAF)
10097,Deutsches Krebsforschungszentrum (DKFZ)
10099,Kiepenheuer-Institut für Sonnenphysik (KIS)
10100,Europäisches Laboratorium für Molekularbiologie (EMBL)
10101,Institut für Deutsche Sprache (IDS)
10102,Zentralinstitut für Seelische Gesundheit (ZI)
10444,Julius Kühn-Institut (JKI) - Bundesforschungsinstitut für Kulturpflanzen
10104,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel"
10047,Ruprecht-Karls-Universität Heidelberg
10106,Forstliche Versuchs- und Forschungsanstalt Baden-Württemberg (FVA)
10107,Institut für Mikroelektronik Stuttgart (IMS CHIPS)
10108,Ludwig-Maximilians-Universität München (LMU)
10110,Katholische Universität Eichstätt-Ingolstadt
10111,Universität Passau
10113,Universität Regensburg
10115,Friedrich-Alexander-Universität Erlangen-Nürnberg
10117,Universität Bayreuth
10119,Otto-Friedrich-Universität Bamberg
10121,Julius-Maximilians-Universität Würzburg
10123,Universität Augsburg
10125,Technische Universität München (TUM)
10127,Hochschule für Philosophie München
10128,Universität der Bundeswehr München
10130,Hochschule für angewandte Wissenschaften München
10131,Hochschule Weihenstephan-Triesdorf
10132,Hochschule Rosenheim
10133,Ostbayerische Technische Hochschule Regensburg (OTH)
10134,Hochschule für angewandte Wissenschaften Coburg
10135,Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt
10137,Hochschule für angewandte Wissenschaften Kempten
10138,Bayerische Akademie der Wissenschaften
10140,Max-Planck-Institut für Plasmaphysik (IPP)
10141,Max-Planck-Institut für Biochemie (MPIB)
10142,Max-Planck-Institut für extraterrestrische Physik (MPE)
10143,Max-Planck-Institut für Psychiatrie
10146,Fraunhofer-Institut für Silicatforschung (ISC)
10147,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V. (FHG)
10150,Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt
10153,Deutsches Jugendinstitut e.V. (DJI)
10154,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e. V.
10155,Institut für Zeitgeschichte (IfZ)
10156,Monumenta Germaniae Historica (MGH) - Deutsches Institut für Erforschung des Mittelalters
10125,Technische Universität München (TUM)
10161,Bayerisches Landesamt für Denkmalpflege
10162,Museum Fünf Kontinente
10163,Deutsches Museum (DM)
10164,Leibniz-Institut für Lebensmittel-Systembiologie
10165,Freie Universität Berlin
10167,Technische Universität Berlin
10169,Universität der Künste Berlin
10170,Beuth Hochschule für Technik Berlin
10171,Hochschule für Wirtschaft und Recht Berlin
10172,Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI)
