name,address,phone,fax,email,internet
Wissenschaft im Dialog,"Charlottenstraße 80, 10117 Berlin",null,null,null,null
"Humboldt-Universität zu Berlin, Institut für Asien- und Afrikawissenschaften","Invalidenstraße 118, 10115 Berlin",null,null,null,null
"Technische Universität Berlin, Institut für Kunstwissenschaft und Historische Urbanistik","Str. des 17. Juni 150, 10623 Berlin",null,null,null,null
"Cronimet Chrome SA (Pty.) Ltd, Südafrika.",Cape Town South Africa,null,null,null,null
"MINTEK, Südafrika","Randburg, 2194, South Africa",null,null,null,null
Berlin Center for Genomics in Biodiversity Research,"Königin-Luise-Straße 6-8, 14195 Berlin",null,null,null,null
Botanischer Garten und Botanisches Museum Berlin,"Königin-Luise-Straße 6-8, 14195 Berlin",null,null,null,null
Vietnam National Museum of Nature,"Hanoi, Vietnam",null,null,null,null
Vietnam Academy of Science and Technology - Institute of Ecology and Biological Resources,"Hanoi, Vietnam",null,null,null,null
Vietnam Academy of Science and Technology - Southern Institute of Ecology,"Hanoi, Vietnam",null,null,null,null
Vietnam Academy of Science and Technology -Institute of Tropical Biology,"Hanoi, Vietnam",null,null,null,null
"Naturalis Biodiversity Center Leiden, Niederlande","Darwinweg 2, 2333 CR Leiden, Netherlands",null,null,null,null
Nestor Kompetenznetzwerk,"Adickesallee 1,60322 Frankfurt am Main",null,null,null,null
Atlas of Living Australia,"Canberra, Australian Capital Territory, Australia",null,null,null,null
Berliner Museumsportal - Partner der EFRE-Pilotprojekte,"Klosterstraße 68,10179 Berlin",null,null,null,null
"Konrad-Zuse-Zentrum für Informationstechnik, Berlin","Takustraße 7, 14195 Berlin",null,null,null,null
Leibniz-Verbund Goportis,"Welfengarten 1 B, 30167 Hannover",null,null,null,null
"SmartDrive Huntingdon, UK","Huntingdon, UK",null,null,null,null
TRIXTER Berlin GmbH,"Berlin, Germany",null,null,null,null
"IsarBerlin projects GmbH, München","München, Germany",null,null,null,null
"BIOKON - Forschungsgemeinschaft Bionik-Kompetenznetz e.V., Berlin","Berlin, Germany",null,null,null,null
"Carasco I Petschko GbR, Berlin","Berlin, Germany",null,null,null,null
"neuronut – David Alexander Strehober und Ekaterina Zhuchkova GbR, Berlin","Berlin, Germany",null,null,null,null
TRIAD Berlin Projektgesellschaft mbH,"Berlin, Germany",null,null,null,null
Arndt Pechstein (phi360),"Kiefernsteg 6, 14532 Stahnsdorf",null,null,null,null
"Programmfabrik GmbH, Berlin","Berlin, Germany",null,null,null,null
"THE CONSTITUTE center for applied future - Zöllner + Piatza GbR, Berlin","Berlin, Germany",null,null,null,null
"STATE Experience Science GmbH, Berlin","Berlin, Germany",null,null,null,null
"EVOCO GmbH, Schöneiche/Berlin","Berlin, Germany",null,null,null,null
"Werk5 GmbH, Berlin","Berlin, Germany",null,null,null,null
"Ferdinand Streicher und Daniel Weiß GbR tentable, Berlin","Berlin, Germany",null,null,null,null
"Filmtank GmbH, Hamburg","Hamburg, Germany",null,null,null,null
"Interactive Media Foundation gGmbH, Berlin","Berlin, Germany",null,null,null,null
"Interactive Scape GmbH, Berlin","Berlin, Germany",null,null,null,null
"MAGIX Software GmbH, Berlin","Berlin, Germany",null,null,null,null
"NEEEU Spaces GmbH, Berlin","Berlin, Germany",null,null,null,null
"Wikimedia Deutschland e.V, Berlin","Berlin, Germany",null,null,null,null
"Mediendesign Michael Scheuerl, Berlin","Berlin, Germany",null,null,null,null
Garamantis GmbH,"Berlin, Germany",null,null,null,null
"Kewalo Marine Laboratory, USA","41 Ahui St, Honolulu, HI 96813, United States",null,null,null,null
"Friday Harbor Laboratories, USA","620 University Rd, Friday Harbor, WA 98250, United States",null,null,null,null
"Sars International Centre for Marine Molecular Biology, Norwegen","Thormøhlens Gate 55, 5008 Bergen, Norway",null,null,null,null
"Westfälische Wilhelms-Universität Münster, Institut für Planetologie","Wilhelm-Klemm-Straße 10, 48149 Münster",null,null,null,null
Helmholtz-Zentrum für Materialien und Energie Berlin,"Hahn-Meitner-Platz 1, 14109 Berlin",null,null,null,null
"Islamic Azad University, Isfahan, Iran","Khorasgan, Isfahan, Isfahan Province, Iran",null,null,null,null
"Senckenberg Biodiversität und Klima- Forschungszentrum, Frankfurt a.M.","Georg-Voigt-Straße 14, 60325 Frankfurt am Main",null,null,null,null
"Staatliche Naturwissenschaftliche Sammlungen Bayerns, München","Karolinenplatz 2, 80333 München",null,null,null,null
"Zoologisches Forschungsmuseum Alexander Koenig, Bonn - Leibniz-Institut für Biodiversität der Tiere","Adenauerallee 160, 53113 Bonn",null,null,null,null
"Leibniz-Institut Deutsche Sammlung von Mikroorganismen und Zellkulturen, Braunschweig","Inhoffenstraße 7B, 38124 Braunschweig",null,null,null,null
"Alfred-Wegener-Institut, Helmholtz-Zentrum für Polar- und Meeresforschung, Potsdam","Telegrafenberg, 14473 Potsdam",null,null,null,null
Justus-Liebig-Universität Gießen - Animal Ecology and Systematics,"Ludwigstraße 23, 35390 Gießen",null,null,null,null
"University of California, Santa Cruz, USA","1156 High St, Santa Cruz, CA 95064, United States",null,null,null,null
Zentrum für Marine Umweltwissenschaften,"Leobener Str. 8, 28359 Bremen",null,null,null,null
Dr. Ariel Ruiz Urquiola,Cuba,null,null,null,null
Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,"Inhoffenstraße 7B, 38124 Braunschweig",null,null,null,null
Staatliche Naturwissenschaftliche Sammlungen Bayerns,"Karolinenplatz 2, 80333 München",null,null,null,null
"Senckenberg Gesellschaft für Naturforschung, Frankfurt a. M.","Senckenberganlage 25, 60325 Frankfurt am Main",null,null,null,null
"National Museum Bloemfontein, Südafrika","Bloemfontein, South Africa",null,null,null,null
Helmholtz-Zentrum Berlin für Materialien und Energie,"Hahn-Meitner-Platz 1, 14109 Berlin",null,null,null,null
"Bundesverband Museumspädagogik, Karlsruhe","Karlsruhe, Germany",null,null,null,null
"Kitaverbund Brunnenviertel, Berlin","Brunnenviertel, Berlin, Germany",null,null,null,null
Senckenberg Museum für Naturkunde Görlitz (SMNG),"Görlitz, Germany",null,null,null,null
Entomologischer Verein Krefeld (EVK),"Krefeld, Germany",null,null,null,null
Universität Koblenz-Landau - Institut für Umweltwissenschaften,"Rhabanusstraße 3, 55118 Mainz",null,null,null,null
Universität Bonn - Institut für Nutzpflanzenwissenschaften und Ressourcenschutz (INRES),"Katzenburgweg 5,53115 Bonn",null,null,null,null
Landesamt für Umwelt Brandenburg - Abt. Großschutzgebiete und Regionalentwicklung,"Fehrbelliner Str. 31, 16816 Neuruppin",null,null,null,null
"Borrissiak Paleontological Institute of the Russian Academy of Sciences, Russland","Leninskiy Prospekt, Moscow, Russia",null,null,null,null
Leibniz Zentrum für Agrarlandschaftsforschung (ZALF),"Eberswalder Str. 84, 15374 Müncheberg",null,null,null,null
Zoologisches Institut und Museum der Ernst-Moritz-Arndt-Universität Greifswald,"Greifswald, Germany",null,null,null,null
"Agencia Estatal Consejo Superior de Investigaciones Cientificas, Spanien",Spain,null,null,null,null
Zentralmagazin Naturwissenschaftlicher Sammlungen der Martin-Luther-Universität Halle-Wittenberg,"Domplatz 4, 06108 Halle (Saale)",null,null,null,null
"Pensoft Publishers Ltd, Bulgarien","Sofia, Bulgaria",null,null,null,null
"Vizzuality S.L., Spanien",Spain,null,null,null,null
"Fishbase Information & Research Group Inc, Philippinen","Los Baños, 4031 Laguna, Philippines",null,null,null,null
"University of Tartu Natural History Museum and Botanical Garden, Estland","Vanemuise 46, 51014 Tartu, Estonia",null,null,null,null
"Institute for European Environmental Policy, UK","11 Belgrave Rd, Pimlico, London SW1V 1RB, United Kingdom",null,null,null,null
"Fundacao Amazonica de Defesa da Biosfera Associacao Privada, Brasilien","Manaus, Brazil",null,null,null,null
"Gluecad Ltd, Israel","Tel Aviv, Israel",null,null,null,null
"Botanicky Ustav Slovenskej Akademie Vied, Slowakei","Bratislava, Slovakia",null,null,null,null
"Simbiotica S.L., Spanien","Madrid, Spain",null,null,null,null
"The Chancellor, Masters and Scholars of the University of Cambridge, UK","The Old Schools, Trinity Ln, Cambridge CB2 1TN, United Kingdom",null,null,null,null
"Terradata AG, Schweiz","Staffelstrasse 12, 8045 Zürich, Switzerland",null,null,null,null
"UNEP World Conservation Monitoring Centre, UK","219 Huntingdon Rd, Cambridge CB3 0DL, United Kingdom",null,null,null,null
"Stichting Naturalis Biodiversity Center, Niederlande","Darwinweg 2, 2333 Leiden, Netherlands",null,null,null,null
"Stichting VU, Niederlande","De Boelelaan 1105, 1081 HV Amsterdam, Netherlands",null,null,null,null
"Centro Nacional de Información Geografica, Spanien","Madrid, Spain",null,null,null,null
