project_id,subject_area
273213,Experimentalphysik
273213,Theoretische Physik
273227,Klinische Pharmakologie
273227,Pharmazeutische Biologie
273227,Nuklearmedizin
273227,Medizinische Mikrobiologie
273227,Toxikologie
273227,Pharmazeutische Chemie
273241,Biochemie
273241,Botanik
273241,Genetik
273241,Infektionsbiologie
273241,Immunologie
273241,Zellbiologie
273241,Molekularbiologie
273241,Mikrobiologie
273241,Medizin
273271,Elektrotechnik
273271,Informatik
273271,Physik
273271,Maschinenbau
273271,Mathematik
273279,Kognitionswissenschaft
273279,Theoretische Linguistik
273279,Sprachtypologie
273297,Amerikanistik
273297,Theologische Sozialethik
273297,Theater- und Medienwissenschaft
273297,Soziologie
273297,Politikwissenschaft
273297,Kanadistik
273297,Anglistik
273311,Allgemeine Linguistik
273311,Computerlinguistik
273311,Informatik
273311,Psychologie
273315,Geochronologie
273315,Sedimentologie
273315,Palynologie
273315,Palöontologie
273315,Paläozeanographische Modellierung
273315,Geomagnetik
273315,Marine Geochemie
273315,Marine Geophysik
273315,Paläozeanographie
273315,Meeresgeologie
273315,Historische Geologie
273331,Agrarsystemtechnik
273331,Phytomedizin
273331,Pflanzenbau
273331,Obst- und Gemüsebau
273331,Geoinformatik
273331,Fernerkundung
273341,Biologie
273341,Geschichtswissenschaft
273341,Informatik
273341,Linguistik
273341,Literaturwissenschaft
273341,Rechtswissenschaft
273341,Wirtschaftswissenschaften
273341,Wissenschafts- und Technikforschung
273341,Soziologie
273341,Philosophie
273353,Experimentelle Elementarteilchenphysik
273353,Theoretische Elementarteilchenphysik
273357,Entwicklungsneurobiologie
273357,Neurophysiologie
273357,Molekulare Neurobiochemie
273357,Rezeptorbiochemie
273357,Zellphysiologie
273357,Tierphysiologie
273357,Neuroanatomie
273357,Molekulare Neurobiologie
273365,Experimentelle Teilchenphysik
273365,Teilchenastrophysik
273365,Theoretische Teilchenphysik
273373,Betriebswirtschaftslehre
273373,Wirtschaftspolitik
273373,Finanzwissenschaft
273373,Makroökonomik
273373,Mikroökonomik
273373,Ökonometrie
273385,Approximationstheorie
273385,Differentialgleichungen
273385,Neuronale Netze
273385,Stochastische Prozesse
273385,Zeitreihenanalyse
273385,System- und Kontrolltheorie
273385,Operations Research
273385,Mathematische Optimierung
273385,Computeralgebra
273389,Biochemie
273389,Herz-
273389,Thorax- und Gefäßchirurgie
273389,Humangenetik
273389,Klinische Pharmakologie und Toxikologie
273389,Klinische und Molekulare Nephrologie
273389,Molekulare Genetik
273389,Pathologie
273389,Molekulare Pharmakologie
273389,Molekularbiologie
