project_id,country
272785,Frankreich
272785,Luxemburg
272919,USA
272953,Niederlande
272963,Schweden
272973,Schweiz
272983,Niederlande
273025,Frankreich
273057,Dänemark
273057,Finnland
273057,Italien
273083,Belgien
273083,Großbritannien
273097,Frankreich
273121,Großbritannien
273193,Dänemark
273209,Frankreich
273209,Großbritannien
273213,Frankreich
273235,Österreich
273235,Schweiz
273285,Spanien
273305,Polen
273311,Großbritannien
273315,Niederlande
273323,Polen
273323,Tschechische Republik
273361,Niederlande
273393,Schweden
273405,Polen
273413,Niederlande
273463,Ungarn
273483,Niederlande
273491,Italien
273591,Schweiz
273595,Niederlande
273599,Frankreich
372799,USA
374870,Schweiz
374897,Norwegen
378603,Niederlande
388747,USA
421041,Italien
421041,Österreich
425187,China
771881,USA
772176,China
776961,Frankreich
777777,Frankreich
784588,Frankreich
785486,Japan
802859,China
883210,China
968025,China
969236,Schweden
4947034,Ägypten
5072143,Italien
5075380,Vietnam
5076092,USA
5076306,USA
5076707,Costa Rica
5076868,Kanada
5078480,Russische Föderation
5078584,Ukraine
5079104,Russische Föderation
5080026,Israel
5080026,Palästina
5080035,Israel
5080035,Palästina
5081828,Niederlande
5082450,USA
5082782,Syrien
5083336,USA
5083628,USA
5084486,Russische Föderation
5084486,USA
5085270,USA
5085282,China
5085904,Ägypten
5086518,Österreich
5087234,USA
5087486,Österreich
5088072,Ägypten
5088198,USA
5088392,Kanada
5088524,Russische Föderation
5089480,Italien
5090190,Griechenland
5091158,Litauen
5091340,USA
5091578,Iran
5092136,USA
5093288,Simbabwe
5094447,Schweden
5094926,USA
5095342,Bolivien
5095878,USA
5097012,USA
5097264,Russische Föderation
5098000,USA
5098228,USA
5098234,Frankreich
5098254,USA
5098432,USA
5098483,Japan
5098790,Niederlande
5101128,USA
5102050,USA
5102086,USA
5102394,Niederlande
5102780,Israel
5102780,Palästina
5104125,USA
5105234,Großbritannien
5106024,USA
5106222,Nepal
5107930,Frankreich
5108012,USA
5110776,Chile
5111743,USA
5111870,USA
5112022,USA
5112086,Schweiz
5112138,USA
5112324,Russische Föderation
5112372,USA
5114804,USA
5115190,USA
5115696,Kanada
5116472,Südafrika
5116838,Österreich
5117022,Israel
5117330,USA
5117984,USA
5118178,Taiwan
5118450,USA
5118628,Australien
5118754,USA
5119926,Kanada
5119962,USA
5121982,Marokko
5122112,Antarktis
5122166,USA
5123626,Niederlande
5123954,Ägypten
5124132,Dänemark
5124184,Israel
5124184,Palästina
5124372,Pakistan
5124598,USA
5127216,USA
5127708,Kroatien
5128034,Japan
5128136,Kanada
5128244,Tschechische Republik
5128282,USA
5128412,Kanada
5128812,USA
5129024,Frankreich
5129672,USA
5129796,Burkina Faso
5130534,Neuseeland
5131712,USA
5131896,Russische Föderation
5133258,Japan
5133752,USA
5133894,Libanon
5134016,Spanien
5134524,Türkei
5134786,USA
5135074,Frankreich
5135488,Großbritannien
5135488,USA
5135692,Russische Föderation
5136170,Vietnam
5136710,USA
5137028,Estland
5137028,Österreich
5138004,Australien
5138330,USA
5138804,USA
5139138,USA
5139192,USA
5139324,Australien
5139395,USA
5140600,Kanada
5141136,USA
5141600,USA
5141606,USA
5141886,USA
5142092,USA
5142192,Brasilien
5142440,USA
5142482,USA
5142616,USA
5143340,Frankreich
5143432,USA
5143504,Kanada
5143595,Türkei
5143608,USA
5144018,Russische Föderation
5144258,China
5144422,Jordanien
5144600,Chile
5144638,Chile
5144708,USA
5145193,USA
5145273,USA
5145602,Großbritannien
5145647,Italien
5145647,Schweiz
5146190,USA
5146294,USA
5146992,Israel
5146992,Jordanien
5146992,Palästina
5147378,USA
5147412,USA
5147634,USA
5147892,Italien
5148406,USA
5148444,Russische Föderation
5148478,Schweiz
5149092,Italien
5149528,USA
5149879,USA
5150402,USA
5151614,Schweiz
5151672,Großbritannien
5152084,USA
5152406,Taiwan
5152866,Russische Föderation
5153016,USA
5153550,Japan
5153886,USA
5153892,USA
5154098,Japan
5154504,Estland
5154742,USA
5154850,Russische Föderation
5154962,Island
5155424,USA
5155950,Frankreich
5155950,Spanien
5156038,USA
5156043,Niederlande
5156362,Schweden
5156376,Schweiz
5156376,USA
5156394,USA
5156438,USA
5156592,Russische Föderation
5156596,Russische Föderation
5156668,Ghana
5156668,Kanada
5156674,Russische Föderation
5156972,Großbritannien
5157296,Australien
5157518,Frankreich
5157656,USA
5157896,USA
5157918,USA
5157930,USA
5157936,Tschechische Republik
5158304,Frankreich
5158352,Großbritannien
5158416,Sudan
5158466,Großbritannien
5158466,Schweden
5158582,Japan
5159204,USA
5159298,USA
5159556,Israel
5159556,Palästina
5159700,USA
5159702,Italien
5159966,Österreich
5160028,Russische Föderation
5160028,USA
5160168,China
5160316,Süd-Korea
5160322,Schweiz
5160494,USA
5160720,USA
5160772,Schweiz
5160778,USA
5160932,USA
5160944,China
5160944,Russische Föderation
5160944,USA
5161012,USA
5161146,USA
5161280,USA
5161472,Kanada
5161544,Schweden
5161938,Neuseeland
5162000,Südafrika
5162232,Frankreich
5162250,Brasilien
5162506,Schweiz
5162582,Großbritannien
5162812,Venezuela
5163284,Niederlande
5163302,Ukraine
5163342,USA
5163452,Finnland
5163478,USA
5163558,Belize
5163700,USA
5163816,Schweiz
5164216,Großbritannien
5164286,Kanada
5164796,Mexiko
5164818,USA
5165038,USA
5165116,Israel
5165668,Indien
5166096,Ecuador
5166406,Tunesien
5166532,USA
5166776,Algerien
5166954,Schweiz
5166954,USA
5167018,Frankreich
5167244,Ukraine
5167286,USA
5167344,Australien
5167344,Papua-Neuguinea
5167668,USA
5168216,USA
5168232,Italien
5168292,USA
5168368,USA
5168540,Russische Föderation
5168656,Ghana
5168656,Kanada
5168710,USA
5169181,USA
5169264,USA
5169826,USA
5170204,USA
5170280,Großbritannien
5170706,USA
5170768,Japan
5170845,USA
5170994,Griechenland
5171002,USA
5171086,Australien
5171086,Japan
5171086,Neuseeland
5171086,USA
5171100,USA
5171136,Großbritannien
5171157,Belgien
5171208,USA
5171400,Italien
5171402,Sudan
5171439,USA
5171484,USA
5171496,Oman
5171606,Großbritannien
5171606,USA
5171740,Großbritannien
5172106,USA
5172166,Großbritannien
5172190,Russische Föderation
5172314,Kanada
5172320,USA
5172452,USA
5172458,Tschechische Republik
5172748,USA
5172800,USA
5172840,Côte d'Ivoire
5173032,Großbritannien
5173038,Jordanien
5173106,Japan
5173340,China
5173346,USA
5173552,Dänemark
5173564,USA
5173614,Chile
5173662,Großbritannien
5173760,USA
5173888,Israel
5173936,USA
5174074,Israel
5174181,Israel
5174181,Palästina
5174196,USA
5174222,USA
5174332,USA
5174338,USA
5174488,USA
5174870,Israel
5175040,USA
5175094,USA
5175418,USA
5175846,Japan
5175882,Großbritannien
5175976,Israel
5175976,Jordanien
5176102,USA
5176228,Jamaika
5176358,Schweiz
