institution_id,project_id_number
221497912,221270173
13942530,5264612
13942530,136356171
10304,85972124
10304,5441091
10304,92383175
62747689,323939992
262614,271879
35040214,92833748
20703946,269007
68298287,5218710
20768058,277686684
14820,259401811
14820,388166069
14820,5160234
14820,5359928
14820,5376877
14820,5097952
14820,5162312
14820,5232356
14820,5233486
14820,5226010
14820,5187874
14820,5220784
14820,5191628
14820,18573642
14820,5260600
14820,5260606
14820,5235026
14820,5248774
14820,5267122
14820,35305689
14820,5446509
14820,5265547
14820,5423789
14820,5224834
14820,138384978
14820,164190058
14820,5124120
14820,48226614
14820,5119810
14820,5119804
10644,17588024
10644,5265644
10644,5356639
142157769,270761288
28835,5446549
28835,164621459
28835,252136658
28835,59758353
28835,242937627
28835,32336636
28835,105368916
28835,31701186
28835,32255310
28835,52016042
28835,64713972
28835,34139457
28835,190642075
28835,319066481
232617700,25187152
232617700,201167448
232634002,232633026
13069,107273346
10737,5292986
290829356,290827466
270462727,270460464
63894553,58099148
10337,13266514
10337,27542298
10337,80750187
10337,125440785
10337,261376515
10337,286471992
10337,290391021
10337,5482652
10337,5480480
10337,5484524
10337,5485085
10337,5486356
10337,13002249
10337,101024871
10337,45298238
10337,58549756
10337,253964310
10337,51175737
10337,144118970
10337,403600955
10337,375957201
10337,178851723
10337,190536775
10337,190536802
10337,190536913
10337,193543204
10337,63280719
10337,382183645
10337,274324833
10337,234025097
10337,355886680
10337,167246847
10337,330574515
10337,237131809
10337,287398422
10337,63444137
10337,129064629
10337,277628841
10337,398554593
10337,127220918
10337,165451409
10337,73667858
10337,179607593
10337,223172149
10337,319345219
10337,220577611
10337,274680676
10337,337475404
10337,266380790
10337,222791419
10337,274618998
10337,274626818
10337,356386071
10337,220259441
10337,139552235
10337,274691652
10337,319178916
10337,274625711
10337,374768273
10337,233971474
10337,127282881
10337,239392151
10337,220923099
10337,260655645
10337,195801221
10337,387734237
10337,113192145
10337,234339847
10337,59347968
10337,395224374
10337,407495230
10337,5486276
10337,5486308
10337,183626985
10337,270394294
10337,272039
10337,272699
10337,272717
10337,273519
10337,24122362
10337,49701054
10337,39071778
64427715,5400063
366345554,388541514
233498249,233427018
10150,314854918
10150,5409347
10150,185333052
10150,148993919
10150,311889786
10150,47141381
10150,157015876
10150,98116689
10150,107764899
10150,47141331
10150,200643867
10150,326655236
10150,259996495
10150,290359142
10150,68647618
10150,118803580
10150,170483403
10150,210592381
10150,213249687
10150,238187445
10150,278529602
10150,281741268
10150,200643443
10150,290351909
10150,5153234
10150,5117366
10150,5447852
10150,5447655
10150,67826807
10150,23916772
10150,23916805
10150,164314332
10150,164293296
10150,102745392
10150,167505021
10150,5359432
10150,5285222
10150,5447806
10150,23916697
10150,5305812
10150,241429406
10150,5362129
10150,5153228
10150,5447632
10150,5153222
10150,5378403
10150,5153250
10150,5343084
10150,5425689
10150,5117410
10150,5158594
10150,5421426
10150,5425668
10150,5433453
10150,126893491
10150,5152994
10150,5447846
10150,5447642
10150,241355051
10150,5364066
10150,5364070
10150,5479527
10150,5481992
10150,5483103
10150,5484447
10150,5484845
10150,5482556
10150,13759457
10150,5117176
10150,5116998
10150,29937873
10150,29898670
10150,63034975
10150,314061271
10150,63464675
10150,5369412
10150,29918664
10150,107422180
10150,107559948
10150,63424380
10150,5369341
10150,63444890
10150,5369317
10150,29918224
10150,63551402
10150,29898499
10150,5485239
10150,34712712
10150,29918182
10150,88512095
10150,299102935
10150,24184143
10150,194407719
10150,24286268
10150,24819222
10150,194407705
185477661,5375393
185477661,5180556
185477661,96663011
185477661,5414830
55211222,29446762
30018,378148210
30018,396699286
30018,383268694
30018,269187088
30018,232550447
30018,254014264
30018,5430236
30018,234386647
30018,5163393
30018,5277916
30018,5420189
30018,5451477
30018,5220918
30018,172271801
30018,222170367
30018,59634953
30018,191993457
30018,48144985
30018,59799354
30018,5252822
30018,186288762
30018,245619385
30018,240707550
30018,242275704
30018,317872316
30018,133242589
30018,5348638
30018,16851893
30018,5485447
30018,16851635
30018,5348626
30018,5348618
30018,16851335
30018,5348646
30018,16870510
30018,5348642
30018,16852136
30018,16870936
30018,5348650
30018,5187368
30018,5419341
30018,234403261
30018,5187398
30018,5409340
30018,47837256
30018,5483697
30018,45810042
30018,101824074
30018,163333927
30018,252196740
30018,5187492
30018,267467939
30018,280194129
30018,37251385
30018,361477855
30018,260792614
30018,90805285
30018,90785773
30018,239773586
30018,279230892
30018,31784900
30018,285767414
30018,270677
30018,19719780
30018,24389404
30018,802859
160871998,5418303
160871998,91870780
160871998,222613918
160871998,194453117
78189944,78190011
78189944,78189991
78189944,78190053
78189944,78189773
12980992,883210
388015811,5327558
20781380,282369042
20781380,282669151
20781380,5196684
20781380,21767631
20781380,75015413
19042568,5301162
19042568,36023453
19042568,5403712
19042568,5301124
19042568,5446571
19042568,36004655
19042568,36004270
19042568,36004602
19042568,36004355
19042568,227674494
19042568,168757335
19042568,5399847
19042568,5403718
19042568,5401356
19042568,5399885
19042568,194290965
19042568,227674557
19247225,5154688
21090644,246743874
21090644,5266926
280498097,280477818
38150589,299194041
38150589,186108581
421477,270852890
421477,421041
21094044,27583473
14209,270177178
14209,49865514
14209,5451839
14209,5451847
14209,5451618
15191542,5385455
15191542,22421581
15191542,5171086
15191542,290278591
15191542,5201744
15191542,213849507
135372000,248466702
24839771,390235678
24839771,13922484
183111176,264269520
183320434,213842972
13759374,5304574
13759374,5361566
13759374,66107129
13759374,250689479
13759374,20457471
13759374,5424128
13759374,283697158
13759374,54248322
13759374,354617974
13759374,269024926
13759374,194979080
13759374,243557051
13759374,164395472
13759374,178725451
13759374,157044246
13759374,5424112
13759374,12468956
13759374,22137416
13759374,22239895
13759374,24185540
13759374,32725986
59942206,274983645
59942206,63710434
277068059,277067947
65963457,226350935
138464774,5365788
138464774,54944869
320026421,321330726
78271647,63956644
283811556,288490669
21093340,242875703
13040966,242903938
13040966,13040859
324375550,392344742
50151544,360727755
50151544,201738816
50151544,97790950
19944540,279728933
19944540,240878786
19944540,42226393
19944540,69014896
19944540,242236969
74688212,273305
117349500,384230557
188502686,189935458
299276882,316076898
16562,5320450
16562,237402130
16562,5325722
16562,182197051
16562,196614650
16562,5186756
16562,94327977
20753328,5236716
289858112,314229245
64632128,261407141
64632128,401702957
64632128,64345319
30229,170047119
30229,5383147
30229,192743507
30229,273389
248339853,248182243
35285397,15274952
35285397,246642874
35285397,5361684
243493401,276958716
87815626,195443858
87815626,49004616
401830223,401788016
249763475,13143976
249763475,54227113
249763475,28321336
72311822,67007773
21091732,5227294
21091732,183850568
21091732,20006554
21091732,197437488
16319208,5379051
16319208,5483766
13983368,233177374
13983368,79275439
13983368,74216469
55948829,39235621
21091176,271598711
223130841,283338900
244821825,393531712
244821825,244811163
20761286,5294112
30444,24674375
30444,244756013
30444,57690094
30444,164503726
30444,5206322
30444,5360313
30444,5340136
30444,5354089
30444,140597238
30444,13799719
30444,35654125
30444,208949819
289486154,197654083
289486154,391059743
20745200,5271200
376818953,376797049
262514,50008835
262514,26293245
262514,56235177
262514,271613
279299298,290208596
166044112,166043401
234957009,266382180
41304708,235690459
41304708,33175659
40301363,33669283
10464,125726341
10464,5246322
10464,5406725
10464,5252382
10464,147846739
10464,201411719
10464,201420020
10464,201416723
10464,30164218
10464,51237016
10464,51217169
10464,51278448
10464,51298920
10464,24102279
10464,796242
200451762,277333310
186718994,186717436
262706,55108991
10627,30572980
970776,5112380
970776,5406810
970776,5107303
970776,5406830
970776,5369097
970776,5369105
970776,5369113
970776,50479580
970776,199871761
970776,28586557
970776,50540633
970776,199838822
970776,50540889
970776,198771508
970776,5079104
970776,32501626
10290,15376962
10290,207566607
10290,224886082
28720,5184998
28720,5184930
14762816,5418289
14762816,255191772
20767076,5365788
168325593,168091199
57198213,57198151
288402294,248681539
20709230,5236068
270475101,284415754
58897620,149078742
20759830,5198411
20558,5420475
774816,5271120
774816,5413601
774816,5354189
774816,394841858
245726940,243302785
211877987,211512420
161425730,5417688
63813350,18878696
63813350,19411284
194642428,188136256
68707703,68707621
10637,269564371
10637,286792694
10637,5168400
10637,327299022
10637,19883953
10637,5455231
10637,122799942
10637,5429097
10637,164626897
10637,5212732
10637,5418190
10637,13204892
10637,100472565
10637,5318290
10637,5171518
10637,5386915
10637,234760463
10637,200549840
10637,39194899
10637,5238224
10637,5365431
10637,5242898
10637,5242912
10637,5454970
10637,37904962
10637,5308474
10637,5377132
10637,248680339
10637,5347471
10637,5209074
10637,288266605
10637,5268688
10637,22012230
10637,240572849
10637,80750187
10637,5078412
10637,5363945
10637,5273271
10637,29160710
10637,5359511
10637,5361941
10637,273499
30464,5342358
21092856,77760487
290140169,198310759
355251618,354985025
277312053,277311979
316853939,316853818
391469144,5253900
290137692,376982064
20710838,68523460
20710838,234518095
356030258,32480725
356030258,248423170
50684743,392943887
20692416,5257006
273928939,51851301
273928939,139879491
273928939,201980698
18837751,210413213
18837751,5342144
396703161,232680815
223973623,391398589
223973623,242643022
430475,25023065
289350084,289342663
248339156,248182243
52834530,5428800
52834530,28484546
52834530,68175862
52834530,398697847
52834530,5383567
52834530,214145179
52834530,5408185
52834530,5377020
44929790,210230660
168653910,76899428
168653910,5382153
168653910,5405477
168653910,118087221
10659,5395251
287028277,288490669
287028277,76407907
266950985,289149249
970765,100185739
281437090,281436693
104534572,244493109
271339817,271325433
266937742,282462670
233236664,229707301
970810,71514049
970810,5433077
970810,164008977
970810,71616313
970810,5398973
970810,5200554
970810,5354253
12925,328429603
12925,280387323
12925,323412143
12925,327867807
12925,350460917
12925,356439312
12925,285911066
12925,290773872
12925,329144242
12925,329151064
12925,193594582
12925,192118873
