subject_area,review_board,research_area
Ur- und Frühgeschichte (weltweit),Alte Kulturen,Geistes- und Sozialwissenschaften (136 Mitglieder)
Klassische Philologie,Alte Kulturen,Geistes- und Sozialwissenschaften (136 Mitglieder)
Alte Geschichte,Alte Kulturen,Geistes- und Sozialwissenschaften (136 Mitglieder)
Klassische Archäologie,Alte Kulturen,Geistes- und Sozialwissenschaften (136 Mitglieder)
Ägyptische und Vorderasiatische Altertumswissenschaften,Alte Kulturen,Geistes- und Sozialwissenschaften (136 Mitglieder)
Mittelalterliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Frühneuzeitliche Geschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte),Geschichtswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Wissenschaftsgeschichte,Geschichtswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Kunstgeschichte,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften (136 Mitglieder)
Musikwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften (136 Mitglieder)
Theater- und Medienwissenschaften,"Kunst-, Musik-, Theater- und Medienwissenschaften",Geistes- und Sozialwissenschaften (136 Mitglieder)
"Allgemeine und Vergleichende Sprachwissenschaft, Typologie, Außereuropäische Sprachen",Sprachwissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Einzelsprachwissenschaften,Sprachwissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Historische Linguistik,Sprachwissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
"Angewandte Sprachwissenschaften, Experimentelle Linguistik, Computerlinguistik",Sprachwissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Ältere deutsche Literatur,Literaturwissenschaft,Geistes- und Sozialwissenschaften (136 Mitglieder)
Neuere deutsche Literatur,Literaturwissenschaft,Geistes- und Sozialwissenschaften (136 Mitglieder)
Europäische und Amerikanische Literaturen,Literaturwissenschaft,Geistes- und Sozialwissenschaften (136 Mitglieder)
Allgemeine und vergleichende Literaturwissenschaft; Kulturwissenschaft,Literaturwissenschaft,Geistes- und Sozialwissenschaften (136 Mitglieder)
Ethnologie und Europäische Ethnologie,"Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft",Geistes- und Sozialwissenschaften (136 Mitglieder)
Asienbezogene Wissenschaften,"Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft",Geistes- und Sozialwissenschaften (136 Mitglieder)
"Afrika-, Amerika- und Ozeanienbezogene Wissenschaften","Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft",Geistes- und Sozialwissenschaften (136 Mitglieder)
"Islamwissenschaften, Arabistik, Semitistik","Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft",Geistes- und Sozialwissenschaften (136 Mitglieder)
Religionswissenschaft und Judaistik,"Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft",Geistes- und Sozialwissenschaften (136 Mitglieder)
Evangelische Theologie,Theologie,Geistes- und Sozialwissenschaften (136 Mitglieder)
Katholische Theologie,Theologie,Geistes- und Sozialwissenschaften (136 Mitglieder)
Geschichte der Philosophie,Philosophie,Geistes- und Sozialwissenschaften (136 Mitglieder)
Theoretische Philosophie,Philosophie,Geistes- und Sozialwissenschaften (136 Mitglieder)
Praktische Philosophie,Philosophie,Geistes- und Sozialwissenschaften (136 Mitglieder)
Allgemeine und Historische Pädagogik,Erziehungswissenschaft und Bildungsforschung,Geistes- und Sozialwissenschaften (136 Mitglieder)
Allgemeines und fachbezogenes Lehren und Lernen,Erziehungswissenschaft und Bildungsforschung,Geistes- und Sozialwissenschaften (136 Mitglieder)
Bildungssysteme und Bildungsinstitutionen,Erziehungswissenschaft und Bildungsforschung,Geistes- und Sozialwissenschaften (136 Mitglieder)
Pädagogische Sozial- und Organisationsforschung,Erziehungswissenschaft und Bildungsforschung,Geistes- und Sozialwissenschaften (136 Mitglieder)
"Allgemeine, Biologische und Mathematische Psychologie",Psychologie,Geistes- und Sozialwissenschaften (136 Mitglieder)
Entwicklungspsychologie und Pädagogische Psychologie,Psychologie,Geistes- und Sozialwissenschaften (136 Mitglieder)
Sozialpsychologie und Arbeits- und Organisationspsychologie,Psychologie,Geistes- und Sozialwissenschaften (136 Mitglieder)
"Differentielle Psychologie, Klinische Psychologie, Medizinische Psychologie, Methoden",Psychologie,Geistes- und Sozialwissenschaften (136 Mitglieder)
Soziologische Theorie,Sozialwissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Empirische Sozialforschung,Sozialwissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Publizistik und Kommunikationswissenschaft,Sozialwissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Politikwissenschaft,Sozialwissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Wirtschaftstheorie,Wirtschaftswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Wirtschaftspolitik und Finanzwissenschaften,Wirtschaftswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Betriebswirtschaftslehre,Wirtschaftswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Statistik und Ökonometrie,Wirtschaftswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Wirtschafts- und Sozialgeschichte,Wirtschaftswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Grundlagen des Rechts und der Rechtswissenschaft,Rechtswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Privatrecht,Rechtswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Öffentliches Recht,Rechtswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
"Strafrecht, Strafprozessrecht",Rechtswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Kriminologie,Rechtswissenschaften,Geistes- und Sozialwissenschaften (136 Mitglieder)
Biochemie,Grundlagen der Biologie und Medizin,Lebenswissenschaften (231 Mitglieder)
Biophysik,Grundlagen der Biologie und Medizin,Lebenswissenschaften (231 Mitglieder)
Zellbiologie,Grundlagen der Biologie und Medizin,Lebenswissenschaften (231 Mitglieder)
Strukturbiologie,Grundlagen der Biologie und Medizin,Lebenswissenschaften (231 Mitglieder)
Allgemeine Genetik,Grundlagen der Biologie und Medizin,Lebenswissenschaften (231 Mitglieder)
Entwicklungsbiologie,Grundlagen der Biologie und Medizin,Lebenswissenschaften (231 Mitglieder)
Bioinformatik und Theoretische Biologie,Grundlagen der Biologie und Medizin,Lebenswissenschaften (231 Mitglieder)
Anatomie,Grundlagen der Biologie und Medizin,Lebenswissenschaften (231 Mitglieder)
Evolution und Systematik der Pflanzen und Pilze,Pflanzenwissenschaften,Lebenswissenschaften (231 Mitglieder)
Pflanzenökologie und Ökosystemforschung,Pflanzenwissenschaften,Lebenswissenschaften (231 Mitglieder)
Organismische Interaktionen und chemische Ökologie pflanzlicher Systeme,Pflanzenwissenschaften,Lebenswissenschaften (231 Mitglieder)
Pflanzenphysiologie,Pflanzenwissenschaften,Lebenswissenschaften (231 Mitglieder)
Biochemie und Biophysik der Pflanzen,Pflanzenwissenschaften,Lebenswissenschaften (231 Mitglieder)
Zell- und Entwicklungsbiologie der Pflanzen,Pflanzenwissenschaften,Lebenswissenschaften (231 Mitglieder)
Genetik der Pflanzen,Pflanzenwissenschaften,Lebenswissenschaften (231 Mitglieder)
Systematik und Morphologie der Tiere,Zoologie,Lebenswissenschaften (231 Mitglieder)
"Evolution, Anthropologie",Zoologie,Lebenswissenschaften (231 Mitglieder)
"Ökologie der Tiere, Biodiversität und Ökosystemforschung",Zoologie,Lebenswissenschaften (231 Mitglieder)
