Fach ID;Fach;Fachkollegium;Fachgebiet;Wissenschaftsbereich
101-01;Ur- und Frühgeschichte (weltweit);101 Alte Kulturen;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
101-02;Klassische Philologie;101 Alte Kulturen;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
101-03;Alte Geschichte;101 Alte Kulturen;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
101-04;Klassische Archäologie;101 Alte Kulturen;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
101-05;Ägyptische und Vorderasiatische Altertumswissenschaften;101 Alte Kulturen;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
102-01;Mittelalterliche Geschichte;102 Geschichtswissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
102-02;Frühneuzeitliche Geschichte;102 Geschichtswissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
102-03;Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte);102 Geschichtswissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
102-04;Wissenschaftsgeschichte;102 Geschichtswissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
103-01;Kunstgeschichte;103 Kunst-, Musik-, Theater- und Medienwissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
103-02;Musikwissenschaften;103 Kunst-, Musik-, Theater- und Medienwissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
103-03;Theater- und Medienwissenschaften;103 Kunst-, Musik-, Theater- und Medienwissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
104-01;Allgemeine und Vergleichende Sprachwissenschaft, Typologie, Außereuropäische Sprachen;104 Sprachwissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
104-02;Einzelsprachwissenschaften;104 Sprachwissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
104-03;Historische Linguistik;104 Sprachwissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
104-04;Angewandte Sprachwissenschaften, Experimentelle Linguistik, Computerlinguistik;104 Sprachwissenschaften;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
105-01;Ältere deutsche Literatur;105 Literaturwissenschaft;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
105-02;Neuere deutsche Literatur;105 Literaturwissenschaft;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
105-03;Europäische und Amerikanische Literaturen;105 Literaturwissenschaft;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
105-04;"Allgemeine und vergleichende Literaturwissenschaft; Kulturwissenschaft";105 Literaturwissenschaft;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
106-01;Ethnologie und Europäische Ethnologie;106 Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
106-02;Asienbezogene Wissenschaften;106 Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
106-03;Afrika-, Amerika- und Ozeanienbezogene Wissenschaften;106 Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
106-04;Islamwissenschaften, Arabistik, Semitistik;106 Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
106-05;Religionswissenschaft und Judaistik;106 Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
107-01;Evangelische Theologie;107 Theologie;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
107-02;Katholische Theologie;107 Theologie;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
108-01;Geschichte der Philosophie;108 Philosophie;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
108-02;Theoretische Philosophie;108 Philosophie;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
108-03;Praktische Philosophie;108 Philosophie;11 Geisteswissenschaften;1 Geistes- und Sozialwissenschaften
109-01;Allgemeine und Historische Pädagogik;109 Erziehungswissenschaft und Bildungsforschung;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
109-02;Allgemeines und fachbezogenes Lehren und Lernen;109 Erziehungswissenschaft und Bildungsforschung;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
109-03;Bildungssysteme und Bildungsinstitutionen;109 Erziehungswissenschaft und Bildungsforschung;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
109-04;Pädagogische Sozial- und Organisationsforschung;109 Erziehungswissenschaft und Bildungsforschung;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
110-01;Allgemeine, Biologische und Mathematische Psychologie;110 Psychologie;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
110-02;Entwicklungspsychologie und Pädagogische Psychologie;110 Psychologie;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
110-03;Sozialpsychologie und Arbeits- und Organisationspsychologie;110 Psychologie;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
110-04;Differentielle Psychologie, Klinische Psychologie, Medizinische Psychologie, Methoden;110 Psychologie;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
111-01;Soziologische Theorie;111 Sozialwissenschaften;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
111-02;Empirische Sozialforschung;111 Sozialwissenschaften;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
111-03;Publizistik und Kommunikationswissenschaft;111 Sozialwissenschaften;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
111-04;Politikwissenschaft;111 Sozialwissenschaften;12 Sozial- und Verhaltenswissenschaften;1 Geistes- und Sozialwissenschaften
